survey,level,province,division,district,domain,indicator,unit,type,denom_pop,num_pop,value,n_obs
PDS 2020,Province,Balochistan,NA,NA,Maternal Health,Institutional delivery (govt/private facility),% of births (last 3 years),pct,1132106,401513,35.47,1937
PDS 2020,Province,Islamabad ICT,NA,NA,Maternal Health,Institutional delivery (govt/private facility),% of births (last 3 years),pct,135015,115805,85.77,133
PDS 2020,Province,Khyber Pakhtunkhwa,NA,NA,Maternal Health,Institutional delivery (govt/private facility),% of births (last 3 years),pct,2986520,2281418,76.39,3610
PDS 2020,Province,Punjab,NA,NA,Maternal Health,Institutional delivery (govt/private facility),% of births (last 3 years),pct,9227331,7354035,79.7,8662
PDS 2020,Province,Sindh,NA,NA,Maternal Health,Institutional delivery (govt/private facility),% of births (last 3 years),pct,4330051,3295474,76.11,3914
PDS 2020,Province,Balochistan,NA,NA,Maternal Health,Delivery assisted by doctor/LHV/nurse,% of births (last 3 years),pct,1132106,393124,34.73,1937
PDS 2020,Province,Islamabad ICT,NA,NA,Maternal Health,Delivery assisted by doctor/LHV/nurse,% of births (last 3 years),pct,135015,116556,86.33,133
PDS 2020,Province,Khyber Pakhtunkhwa,NA,NA,Maternal Health,Delivery assisted by doctor/LHV/nurse,% of births (last 3 years),pct,2986520,2321820,77.74,3610
PDS 2020,Province,Punjab,NA,NA,Maternal Health,Delivery assisted by doctor/LHV/nurse,% of births (last 3 years),pct,9227331,7359654,79.76,8662
PDS 2020,Province,Sindh,NA,NA,Maternal Health,Delivery assisted by doctor/LHV/nurse,% of births (last 3 years),pct,4330051,3228304,74.56,3914
PDS 2020,Province,Balochistan,NA,NA,Vital Statistics,"Infant deaths per 1,000 live births (IMR, births of last 3 years)","per 1,000 live births",pct,1132106,64035,56.6,1937
PDS 2020,Province,Islamabad ICT,NA,NA,Vital Statistics,"Infant deaths per 1,000 live births (IMR, births of last 3 years)","per 1,000 live births",pct,135015,7270,53.8,133
PDS 2020,Province,Khyber Pakhtunkhwa,NA,NA,Vital Statistics,"Infant deaths per 1,000 live births (IMR, births of last 3 years)","per 1,000 live births",pct,2986520,158946,53.2,3610
PDS 2020,Province,Punjab,NA,NA,Vital Statistics,"Infant deaths per 1,000 live births (IMR, births of last 3 years)","per 1,000 live births",pct,9227331,510911,55.4,8662
