survey,level,province,division,district,domain,indicator,unit,type,denom_pop,num_pop,value,n_obs
LFS 2024-25,Province,Khyber Pakhtunkhwa,NA,NA,Working Conditions,Occupational injury in past 12 months,% of employed,pct,11026794,337795,3.06,16689
LFS 2024-25,Province,Punjab,NA,NA,Working Conditions,Occupational injury in past 12 months,% of employed,pct,42779438,1330695,3.11,45882
LFS 2024-25,Province,Sindh,NA,NA,Working Conditions,Occupational injury in past 12 months,% of employed,pct,17003878,306401,1.8,23261
LFS 2024-25,Province,Balochistan,NA,NA,Education,Literacy rate (10 years and older),% of population 10+,pct,9552435,5264448,55.11,27563
LFS 2024-25,Province,Islamabad ICT,NA,NA,Education,Literacy rate (10 years and older),% of population 10+,pct,1701052,1355902,79.71,2005
LFS 2024-25,Province,Khyber Pakhtunkhwa,NA,NA,Education,Literacy rate (10 years and older),% of population 10+,pct,30314237,17192774,56.72,45498
LFS 2024-25,Province,Punjab,NA,NA,Education,Literacy rate (10 years and older),% of population 10+,pct,96616778,65141157,67.42,100108
LFS 2024-25,Province,Sindh,NA,NA,Education,Literacy rate (10 years and older),% of population 10+,pct,41430051,26020878,62.81,55611
LFS 2024-25,Province,Balochistan,NA,NA,Education,Matric or higher education (15+),% of population 15+,pct,7779711,1822599,23.43,22346
LFS 2024-25,Province,Islamabad ICT,NA,NA,Education,Matric or higher education (15+),% of population 15+,pct,1444914,750853,51.97,1702
LFS 2024-25,Province,Khyber Pakhtunkhwa,NA,NA,Education,Matric or higher education (15+),% of population 15+,pct,25008301,8032268,32.12,37613
LFS 2024-25,Province,Punjab,NA,NA,Education,Matric or higher education (15+),% of population 15+,pct,81833862,27887020,34.08,84575
LFS 2024-25,Province,Sindh,NA,NA,Education,Matric or higher education (15+),% of population 15+,pct,34717467,10786031,31.07,46490
LFS 2024-25,Province,Balochistan,NA,NA,Education,Ever received technical/vocational training (10+),% of population 10+,pct,9552435,925841,9.69,27563
LFS 2024-25,Province,Islamabad ICT,NA,NA,Education,Ever received technical/vocational training (10+),% of population 10+,pct,1701052,256224,15.06,2005
LFS 2024-25,Province,Khyber Pakhtunkhwa,NA,NA,Education,Ever received technical/vocational training (10+),% of population 10+,pct,30314237,3174773,10.47,45498
LFS 2024-25,Province,Punjab,NA,NA,Education,Ever received technical/vocational training (10+),% of population 10+,pct,96616778,12896808,13.35,100108
LFS 2024-25,Province,Sindh,NA,NA,Education,Ever received technical/vocational training (10+),% of population 10+,pct,41430051,2526825,6.1,55611
LFS 2024-25,Division,Balochistan,Kalat,NA,Demographics,Population (extrapolated),persons,pct,2657914,2657914,100,10768
LFS 2024-25,Division,Balochistan,Loralai,NA,Demographics,Population (extrapolated),persons,pct,888004,888004,100,2828
LFS 2024-25,Division,Balochistan,Mekran,NA,Demographics,Population (extrapolated),persons,pct,1947677,1947677,100,3204
LFS 2024-25,Division,Balochistan,Nasirabad,NA,Demographics,Population (extrapolated),persons,pct,1982213,1982213,100,6197
LFS 2024-25,Division,Balochistan,Quetta,NA,Demographics,Population (extrapolated),persons,pct,3794674,3794674,100,9244
LFS 2024-25,Division,Balochistan,Rakhshan,NA,Demographics,Population (extrapolated),persons,pct,941038,941038,100,2697
